Serial,en_curid
20789,293107
7399,1032619
21028,511567
22322,838637
6896,1230744
40106,162051
20837,102300
2476,29778
20992,31126
5781,31522
4074,30038
5973,81834
9057,51624
42935,349641
40046,31040
1104,30027
2620,755140
8396,44328
20295,262823
4831,176356
1348,32767
3799,396482
8512,744323
21079,32603
40195,32668
8561,484093
20434,803888
22600,293093
9142,239419
375,586649
3649,553525
1125,33133
1032,358425
21382,33820
7815,481941
2857,370242
6999,61325
8685,191803
8685,191803
40142,250974
5440,86585
6182,34131
8816,149626
9003,34128
4968,245682
21446,459853
2510,370239
555,647967
40365,45342
1961,27648
1961,27648
8069,99812
8069,99812
3159,537220
3173,165008
3619,50203
6497,592095
3785,33971
21220,103020
21294,118449
30876,90682
6768,262149
4771,584542
12869,33277
21928,33277
5880,323852
6757,48187
3525,39817
7561,33132
7561,33132
41911,33163
6300,595186
6300,33972
41412,172840
